<Apps_for_Android> games:2537037.1055596066 play:2247113.8091989527 graphics:1713265.4482352666 kindle:1623429.5418573343 addicting:1242808.2184094565 addictive:1035936.0441975455 challenging:992713.5393625504 coins:955141.6796828125 fire:873237.7713834605 playing:858860.1408184121 puzzles:685415.5497323661 apps:581592.8839890066 levels:524737.622313832 free:501001.8215785628 download:468874.6800539256 downloaded:401933.9544030182 ads:391326.5745358066 bingo:326777.76631461567 gameplay:292273.0536111694 flappy:278066.6912266814 uninstalled:268092.42706600856 facebook:244862.80021059277 mahjong:224833.17233451147 solitaire:208979.84293331063 puzzle:202466.74910689172 played:195723.39605319453 faotd:192946.7262648941 waster:191535.25318696845 deleted:177813.00791739573 bought:177044.8173788922 android:167433.61883271966 minecraft:151811.8194789197 permissions:150550.7209693925 quality:149208.72102671652 earn:147636.80115761294 glitches:146220.33418564338 price:143873.8683988131 delete:140480.6471802512 author:135121.91241344364 made:132578.25762193964 challenge:132521.76962298492 reading:132386.71021292108 addicted:131976.0231207244 years:129977.92898929075 fit:125061.10957800949 freezes:124941.4586535026 uninstall:115769.58405758196 unlock:115529.32588741611 characters:111292.51438930584 series:110420.01766034267 downloading:109572.87892484874 written:106710.57017273715 multiplayer:103978.08541571358 hints:94662.74686020764 size:91927.6947299047 brain:89846.10041286577 crashes:88833.95878391957 logos:88734.40983712598 bored:88520.25533082538 appstore:87729.0946736935 awesome:87075.03679771745 end:86583.0451994538 sims:86515.18481260676 developer:86228.95821650756 put:86093.68057804253 small:85847.10894635135 back:85710.11366624034 perfect:83950.90798345541 feel:83251.68008725575 light:82042.83124571238 apos:78491.83203174137 temple:73684.35919716455 tetris:73628.03791745928 ordered:73215.71052739459 gameloft:71976.95882595587
<Health_and_Personal_Care> pills:1183247.4944906575 razor:1134944.4355646812 shaving:1096872.7897937691 shaver:966157.3370743769 protein:640730.9517055585 vitamin:580027.0696695863 supplement:578346.4813629641 vitamins:573304.1142927601 supplements:554549.1553782104 capsules:546906.3632958657 razors:528775.3912753111 pill:516839.3156741884 toothbrush:401915.2160347409 bottle:401309.529122321 norelco:399014.8922901705 shaves:390798.71387686575 trimmer:349810.99321180186 appetite:347827.5893722635 taking:347542.474396299 gillette:338461.1982430062 mg:321725.77080312313 deodorant:318117.47589022666 pain:315694.5042488396 smell:285853.5401444786 teeth:281447.71023213014 results:274414.01599613496 garcinia:272291.09504776244 beard:270391.06543144514 sonicare:264984.822252344 powder:263699.7717398382 shavers:257119.90584467712 dentist:255815.2863106388 braun:255451.15420588726 stomach:252288.5873851851 scent:251228.841283593 dosage:243654.67349166935 blades:241064.988178788 hairs:236309.56651862618 energy:227768.9767345385 products:222986.10756481448 massager:221518.84860641762 massage:216933.29247577078 cambogia:212535.15162318596 whey:209099.65268506817 gums:204103.42872985319 doctor:202983.83247673386 detergent:200689.61708101415 brush:197193.55898724188 oil:196282.68698931255 relief:195229.28689882284 weight:189158.17152505636 floss:181202.11539314032 scale:176300.4389731535 characters:171608.91045737153 sinus:169241.94553125757 swallow:166124.67951956793 muscle:164343.80090383804 cleaning:159787.28844621408 works:156815.56976391262 capsule:156138.09304149597 author:155808.80518725218 irritation:149910.24422344673 batteries:149271.65861248947 clean:148525.67305367166 mop:144395.10550949367 pounds:144278.57217865877 whitening:142905.16251144707 gel:139767.87260279668 balm:139188.12537094057 stubble:138504.70182786512 diet:137514.60622824993 weeks:135156.22202419877 calcium:131600.35415134995 water:130765.51814404238 ketones:130230.41577992307
<Home_and_Kitche> vacuum:1379244.4630594407 clean:1196616.7750444796 pan:1145235.3533936492 dishwasher:1051160.646552852 lid:1035146.865422182 pot:926649.9180626353 oven:879637.984845079 mattress:877936.8332568689 maker:849628.6609652569 pans:809329.8775763529 cup:765788.8389556035 mug:660100.0817790105 stainless:652502.6152070641 toaster:610403.9516007785 counter:609831.0225654594 cooking:581277.642560054 sheets:572445.9295756556 cuisinart:570298.8342038254 pillow:555730.9546311704 cups:530220.0284113054 water:526078.6836141832 comforter:522155.59599225066 microwave:497578.41021260235 filter:490078.7693584246 machine:480961.20130975137 grinder:479748.1027486302 carafe:469231.7678315425 blender:455924.9710012379 cooker:423030.69478774304 bed:420277.5435352432 juicer:412857.45348219434 cook:411765.00271566096 cookware:390444.35348888615 glass:389451.19943410513 pillows:388142.3285138282 knives:387546.2724945445 stove:379698.907633235 heat:378966.1623495517 cleaning:365309.3026066599 mugs:364641.13863567985 rack:363009.0815670751 espresso:361817.8186867084 bread:346564.09439310624 kettle:344528.21949690336 lids:342919.6073831392 sturdy:341401.03782953304 poster:336782.87580409064 bowl:334566.13045971974 pour:333896.2988028893 suction:322121.73968199093 steam:321181.5139840651 brew:315513.7260036362 dyson:292194.4816447516 hot:290629.16975224385 pots:287344.1852953203 steamer:284681.45230789547 filters:284309.6939896379 heats:284198.5062248702 steel:283538.65370883205 plastic:283340.76376128185 temperature:283279.5443041222 mixer:281249.3853542847 handle:281171.2524344827 cooks:278787.6396376946 kitchenaid:277673.4761119664 towels:276961.5862822714 heating:272733.9287678284 baking:272186.9620348759 grind:271792.62163666275 slicer:267737.1386715858 evenly:262076.0603397589 carpet:257218.33059818 easy:251022.2746231781 characters:245842.4231466565 appliance:245824.0224590356
<Kindle_Store> author:943225.4119426914 characters:881079.494258764 series:653511.4867879824 reading:562060.0962091056 enjoyed:493316.6901157682 romance:470454.09002128977 kindle:433977.4464889274 short:383818.0143857519 stories:340404.80921913503 wait:335481.50797549635 novella:326493.43498808873 written:275807.591898537 sex:256067.52271448684 loved:244246.74862859174 character:194276.75320129035 forward:190077.37126057397 writing:177401.08273214498 ending:176692.91864777327 sexy:174872.1380701287 bought:168250.37895511123 plot:167997.9232790861 quality:167822.03703142836 steamy:158682.67069951328 interesting:152181.07790814788 erotic:146584.39511853628 ebook:144534.48112644418 price:135268.04594026026 relationship:134563.64375382345 paranormal:110346.99133017324 size:109968.6136832639 heroine:107256.58397111796 fit:106856.17407491484 reader:105082.30097082187 errors:101405.83631461239 works:98062.4408357899 storyline:97925.11968390348 erotica:96053.43227839013 honest:95735.63899976005 mystery:95407.32254085038 twists:95027.01443822282 end:93066.48310720689 buy:92689.4893525338 installment:92087.64741811992 suspense:91524.61746808451 music:91464.7353230164 sweet:84287.26518741909 wanting:84202.07014431976 hea:81057.45702463434 alpha:79483.41621052104 ms:77548.13999919532 tale:76118.51347330329 believable:75642.94667244199 scenes:75541.58542550383 action:74280.80680502905 bdsm:73570.81797371767 ordered:72617.07308714888 hot:71541.43753594719 authors:70981.00246617309 sound:70898.87523942963 grammatical:70670.19110552089 enjoyable:70666.5464049396 grammar:69776.9463521259 writer:69478.69352051195 typos:68627.08268088332 recipes:68190.52222508183 editing:67084.31186198299 beginning:66068.65682254272 felt:65393.745123891305 page:64172.00996830148 paced:63902.71503597148 purchased:63631.48096389989 woman:63116.992576022705 item:62876.06875992674 twist:60831.99135775078 heart:60468.97238139563
<Movies_and_TV> dvd:8361044.838427735 movies:5357576.722441233 acting:4464615.773831313 watch:4246672.302589304 films:3556722.240580595 actors:3506327.0823197723 watching:3266172.56079497 watched:2990525.80038358 episodes:2169575.8440165543 season:2046956.0682001768 director:1945420.999679349 show:1874156.1423293508 cast:1798060.0575868825 episode:1647460.4924339175 comedy:1603804.8361071283 actor:1425586.7810991844 scenes:1289558.9620120972 seasons:1011600.9398279135 script:1011402.244067851 video:1011132.1388910118 viewer:945531.8171777246 documentary:926443.2560097602 flick:903475.5694052884 scene:903395.4180864147 funny:901880.7984815005 blu:887490.3728438431 dvds:886871.5732941789 vhs:873809.0791512077 cinematography:816993.0687317548 performances:804649.1192385663 filmed:771990.5213767495 ray:768620.0048394033 animation:733202.7633379521 role:703063.1738917343 viewers:701041.6251417248 effects:697909.7038484769 subtitles:679670.2902709885 extras:670363.3222559165 action:641454.7112166889 hollywood:628248.437364417 footage:618722.150847106 tv:601244.8790658357 actress:590695.4011173608 classic:562662.3890501382 horror:555728.952520622 special:535964.681065657 plot:463192.3982911812 acted:456783.060318672 oscar:440337.8127136126 anime:438862.35022859136 roles:435372.95038824435 production:435187.39638879953 viewing:433968.46157972055 cinema:425761.1777916248 series:417742.9161560121 performance:416332.19319489953 animated:410186.6086839404 rent:403196.9601788617 shows:402973.8275060936 plays:396091.1901747897 cgi:393183.5293913221 nudity:392377.45974322624 directed:390463.31085579254 character:375424.29662086355 television:364364.691556059 drama:362348.126668675 theatrical:346577.8721097288 scenery:342428.4213575059 widescreen:326348.34832568426 entertainment:322512.11353278894 directing:320595.6075585197 disc:320056.80663376156 played:315099.268111625 comedies:314068.7917680634 sequences:313287.00879097934
<Musical_Instrument> instrument:1007918.3982373851 mic:864880.4818585367 pedal:842014.50626648 tuner:731024.2815163211 fender:709708.137656507 ukulele:635551.3540266664 tuners:604537.318421018 sound:603750.1199308154 mics:577249.2367874947 uke:530546.1518554534 pickups:508143.83188355906 tuning:490922.9066562701 behringer:483079.8517547857 guitars:482976.3915464798 capo:465640.6087806197 xlr:428072.8054001664 strat:422629.0147782984 midi:406512.44355713937 frets:401462.0501114216 epiphone:363111.19574938243 headstock:361199.42832502455 violin:350190.6219283501 acoustic:343086.9430463705 addario:323006.15705765906 microphone:313315.0881457875 fret:304946.6870529059 korg:298819.3515694161 string:293826.795367906 yamaha:283645.8220862932 pedals:277650.8427659829 amp:276948.7598778733 ibanez:276630.837966232 reeds:262931.73783984286 tune:260652.0909711936 metronome:241822.2477279081 tone:235533.23768589608 drum:228688.7685892651 gig:224801.42164636895 bass:216924.55936877444 sounds:214124.3467050652 hohner:203714.21810422902 cymbal:203010.63282684216 microphones:201874.75748036397 rosin:197199.71457590067 preamp:186525.31050749373 playing:172346.44208171483 condenser:170792.52421590724 fretboard:164962.49184210587 recording:162071.88784461084 peavey:156851.05882491413 instruments:156193.73658910702 mixer:150441.6673995673 dunlop:149960.2210628899 intonation:148281.9286326302 gigging:146608.37205779474 capos:141685.39029083724 cymbals:141491.3193677877 alesis:139084.01886119306 reverb:135560.02019170372 karaoke:132906.1460763857 humbucker:132246.5846183891 play:131889.1408198707 tascam:130130.66241209747 pickguard:129628.58425472754 snare:126304.2112215845 mouthpiece:123187.46687562531 piano:123068.51714624754 gigs:120946.80243763646 pickup:120155.34742402213 ukes:120061.32078367162 takamine:119685.7857904364 ableton:119635.34775622925 daw:119415.62473582428 mxr:119165.56080255697 truss:118723.69348710439
<Office_Product> cartridges:4912718.444727904 cartridge:3793837.986556368 printing:2311412.756878084 printers:1786592.3001532627 epson:1708976.2863628543 toner:1668729.3384489582 scanner:1656056.3460012474 hp:1519619.336516773 print:1471153.7471375384 pens:1333726.2329109928 paper:1221074.8856813684 prints:1014269.3643054488 pen:823808.1874696023 scanning:818270.6744548327 fax:810005.8385358823 scan:732231.2314970937 handset:630479.7726227037 shredder:601637.3615706861 inkjet:598474.1845632042 inks:552502.510718382 handsets:539032.2109014329 pencils:536327.4916965985 lexmark:482253.8178512791 scans:473835.8044158288 desk:459502.3866393704 office:449699.3618191867 pencil:440537.01679996226 copier:438500.57741411804 printed:420180.0348059262 envelopes:418427.09158189944 laser:347550.3821178473 canon:338874.2420738739 labels:323604.9881674543 pixma:314456.6014919531 caller:307883.8411886389 remanufactured:293788.2097734633 stapler:289409.104198745 calculator:277428.75610051083 duplex:273446.5020869035 documents:268074.8145440913 staples:257949.46939416486 refills:246528.78796161083 laminator:234964.13993287698 binder:233750.25309939822 scanned:218888.52195416752 mfc:216166.55832778613 ooma:214564.36538358865 papers:208409.90114795766 refill:190436.15614333886 eraser:185333.33640442792 cyan:181119.16270296203 nib:177208.03067175564 toners:175505.0788848701 scanners:173944.05387860295 uniden:171035.24495406786 faxing:168350.79195144237 wireless:163998.0943547638 calendar:155611.8498976484 faxes:155366.63379175455 laminating:155224.09869131492 laserjet:155112.8300262402 photosmart:154468.34969371703 cordless:154267.343298848 officejet:153990.47670359508 document:151191.9939680675 answering:149067.78151097908 erase:147363.62870511328 software:144679.83062867398 phones:140343.48229404946 dect:136213.5862417606 printhead:135493.65231695553 sharpener:135361.82467598782 planner:133435.91112128392 refilled:133271.6486048492 sheets:132830.14299240932
<Patio_Lawn_and_Garde> plants:1265791.1906220312 lawn:1049335.626767469 feeder:948783.7980712259 yard:938039.4939433634 hose:840488.2673005734 pool:789274.4215087414 seeds:775314.0225515051 garden:693543.5156689443 patio:606918.1020304905 plant:597623.1931271713 weber:586555.0597640368 grass:584378.3736594499 soil:549075.338501297 squirrels:524432.537361829 blower:524087.9077349884 gas:514758.16546146397 feeders:459169.36801659124 planted:442227.1433802309 trimmer:437818.6831978189 weeds:427766.1449332841 traps:413617.75170273404 seed:393926.8520286782 sprinkler:386274.60724816495 smoker:374553.6695140433 trap:359871.01924775203 watering:346501.01515372057 birds:298414.0397491266 weed:270229.09203832765 grills:255234.0359699331 mow:253558.2603977808 grilling:251435.9666938656 mulch:251195.48001247458 germinated:250678.5956381913 germination:242997.04039819978 propane:235006.2842214277 shovel:233265.55464983167 edger:231335.7877532767 seedlings:227248.0706526919 mowers:225361.02274364472 hoses:221556.78390518142 deck:221346.2283743892 mulching:221126.35059317664 mowing:218557.5163800937 bbq:215717.8048217855 planter:215081.9185842092 charcoal:212979.30100451421 sprouted:208564.50951996533 fiskars:206071.70782712472 toro:203872.74850013488 intex:202851.17392601218 hummingbirds:202496.1564047687 fertilizer:199870.2912025923 poulan:195877.1201705241 germinate:178233.30714091283 water:174275.09520847522 acre:173685.52496223955 husqvarna:168797.03854748368 generator:168318.5099829539 trees:163873.17015630467 bait:163320.73051476647 planting:163242.46482728902 zapper:162548.23307338727 branches:162210.27426750996 tiller:161328.5524429198 driveway:159722.98825484942 potting:158960.6907551971 sprayer:157928.4353457577 ants:154795.13143129816 mice:150929.186043257 hummingbird:147966.25548669364 hammock:145457.3825217453 roaches:143973.48413690706 nozzle:142310.2325384047 sprinklers:137662.09998362762 grates:135622.2279978858
<Pet_Supplie> cats:4742521.907366981 cat:4414672.424921372 litter:2317100.775617333 pet:1865673.9201817794 vet:1747488.341266831 puppy:1573293.6946359463 collar:1550485.2310550755 treats:1246531.1787324906 leash:1159020.0848258373 chew:972143.194768574 fleas:842041.3084687405 crate:784504.3470509839 lb:774992.0509855539 food:765789.6732742385 pup:698204.8275958454 terrier:657585.3900543934 lab:646682.7269539753 chewer:646589.1177064233 collars:616675.3980292885 chihuahua:559036.2958902481 yorkie:536465.090737309 barking:511375.9738641947 chews:499118.8964261877 paws:474859.6877369566 catnip:450516.48730387597 chewing:449618.0918126943 kitty:442458.821041983 kitties:420896.58394468756 toys:419883.6726823162 kibble:418209.33994256874 cage:414743.22036814893 petsmart:387490.0618039994 squeaker:385796.90752587066 kitten:380935.16840066545 flea:378254.3706803871 fur:372606.67110987677 petco:369611.87643905217 tank:366823.8539100583 aquarium:359780.60296438966 chewed:347538.4830666279 poodle:339501.64625884185 retriever:333942.9086356109 harness:323603.07857896277 shih:318224.30606873526 bark:313688.0446162473 urine:301244.9525985247 loves:299579.0979371765 shepherd:299204.1185691411 chewers:293184.8053091837 kittens:285856.19941260334 pets:281041.8217319214 pound:264604.0064804971 bowl:262130.54264985837 kennel:261045.62183937445 squeakers:244618.6214817753 paw:243490.46141259366 poop:240955.34628350168 frontline:240797.73453639675 gallon:235885.7077210208 eat:228871.34788102785 beagle:228652.54871638346 maltese:227714.03287409458 furminator:223978.68241780566 doggie:223224.15741909487 dachshund:222739.32423329755 fountain:221730.18875425734 pups:221060.4008293542 collie:208277.50455357332 leashes:201993.33536175627 spaniel:197078.41363153004 schnauzer:195193.20983680376 tzu:193259.11412048677 drinkwell:192653.13405480597 treat:191479.1672317021 greenies:188727.11415135936
<Sports_and_Outdoor> gun:703857.6973773132 rifle:611803.322940404 bikes:465763.79359245475 camping:455513.4848479584 pistol:428006.5949511496 holster:402405.48769796646 sheath:354395.67580630403 tent:336886.81804113206 scope:322348.53075783054 fit:310781.7241584011 airsoft:304677.3510501771 ar:293490.9386199173 bag:277622.7314477942 blade:268053.50788242335 glock:247919.32184437662 gloves:242485.63434696296 riding:241243.20756410665 comfortable:236679.52725759425 ruger:229701.4344147976 ammo:228680.75451430562 grip:224486.53261462375 helmet:215120.0942353144 workout:207603.44365020565 weight:205613.40341265587 gear:192700.23438240762 rounds:190858.1073538677 characters:187978.94434754105 straps:185225.17138671514 mag:183902.28049921096 knives:181495.03550459121 bicycle:176998.2159241023 reading:173089.23076109082 author:172128.08811679788 carry:170569.2880099361 size:168398.0493509197 mat:168329.075189995 ball:166282.81619412216 yards:165259.88150929927 barrel:164679.56163601083 mags:160901.14615581438 gym:158385.1858878208 schwinn:155288.26556664132 fits:151663.94472789913 goggles:151641.28924423826 bbs:150003.2198717477 golf:149369.96539417192 rail:148805.43005416472 strap:148178.0655843123 shorts:147953.45929965292 shirt:144186.7174706143 tires:141356.6581910964 sharp:141074.87757074749 rides:140043.3617279779 edc:139462.66060587094 pedals:138937.46551021762 backpacking:138356.31843992005 series:136769.61469682094 kayak:135911.6205869199 belt:135893.17665679575 recoil:134692.60261005486 weights:132390.21806985186 scooter:130959.2497161163 written:130569.9844684651 quality:130566.48461020617 sturdy:130473.90158382253 water:130231.00152618282 lbs:128188.85426924111 camelbak:127530.98102861944 socks:127396.21641087128 shimano:125903.68300438416 fishing:124970.50196608194 handlebars:124682.80526347479 ride:123923.90785387628 molle:122568.48367387851 rack:122553.88230193629
<Tools_and_Home_Improvement> flashlight:1118833.5592094923 bulb:1110678.9911475538 drill:1000073.8735184154 tool:937209.0573883652 light:932803.8743330474 dewalt:910935.6732596455 faucet:841820.3213054915 lights:795511.0695945711 fixture:542980.2282927228 bright:533074.6071639087 tools:515980.9838279335 flashlights:434799.16796427144 makita:428995.60457145056 lamps:410680.39119639376 installed:369529.6127907812 incandescent:362619.20441398554 garage:356694.1572809022 fixtures:331419.4714424524 batteries:315265.6848308752 lumens:304859.9447703586 dimmer:297813.76683871454 ceiling:289117.43934725213 beam:286812.97047056135 sander:284341.6956442099 depot:283717.73799665726 miter:282158.5708657374 nailer:277058.72291713016 screws:276867.93030014815 cfl:272133.9192134766 blade:269102.66388558684 wall:263993.3355105472 switch:261166.59990352063 door:253657.87541984348 bathroom:243552.05819552744 lighting:234892.97956468203 led:222063.17707351118 sanding:216637.09972388117 screw:214637.2593387987 saws:212926.97157814758 plumber:205064.3200406273 bosch:203256.08467373482 thermostat:201510.86025464674 halogen:192336.55192061616 torque:191976.8505849527 milwaukee:191769.41365707677 installation:191710.5453894387 faucets:190423.27928759408 leatherman:188372.6040554253 sink:187784.31634293502 lowes:182494.5811021905 showerhead:182363.57790805874 wood:182283.65900025176 maglite:178052.86703715107 pliers:173811.29869077748 screwdriver:173788.55227651872 dremel:173711.0754564324 wrench:171148.11433276575 watt:169827.83738254 toilet:167125.25122990232 electrician:160524.1760075317 lumen:160244.4292827605 bidet:157447.7452834679 brighter:156921.27546418703 contractor:153967.1589546292 moen:153359.55791136852 hose:151511.05500676695 strobe:151360.79810637966 shower:148994.85099282154 replace:147029.15590767167 compressor:144330.75132320268 brightness:143504.0823040883 drywall:143020.13307597677 blades:141993.1293121763 streamlight:141600.1664197412 drilling:141165.33352182593
<Toys_and_Game> toys:1552724.653897888 loves:1413381.7418726524 son:1018295.8667065261 grandson:1010565.7043155868 lego:927242.0540457395 play:885234.0419137838 birthday:870199.1751768016 dolls:814025.1208582809 kids:805756.8202039994 christmas:791100.9329351952 daughter:768573.2087284487 year:680676.5577778795 granddaughter:516063.8187893486 pieces:464632.0303371996 playing:451833.9861098598 legos:431332.6899008295 puzzle:403364.2892730322 barbie:358691.89609772875 gift:349053.9461847608 cute:332582.4966002438 yr:326971.9143541187 nephew:311217.26088568964 cards:299913.89448764623 figures:294216.65958688693 helicopter:284316.7707440477 durable:272453.0722396957 plush:255463.46860715412 rc:236985.64750538534 child:209965.2730926304 educational:207732.610877046 heli:206418.45904184392 cuddly:206270.17202610624 niece:205923.12734182557 played:201388.44602042795 nerf:195242.41204791117 articulation:188845.13050855935 stuffed:186934.23592056357 hasbro:177944.16559719463 cars:166879.86921416316 mattel:162783.65426368522 doug:156905.66042227895 games:154514.01478888132 leapfrog:152619.03294710757 puzzles:149628.38329316018 syma:146396.46873146202 dice:146058.14130798704 webkinz:145881.58548201396 playset:141045.6119196475 party:139007.29657931614 ravensburger:138569.70064824092 barbies:137531.6068808737 kid:131334.41461126696 plays:130999.1017324778 copter:130581.85902410638 melissa:128686.5464399951 bought:127352.14206232798 board:124391.3181756307 leapster:122654.08199724977 paint:119567.05974329833 leappad:117917.85284850089 figure:116974.65314885901 adorable:116664.85349746505 author:116480.28704433146 dollhouse:115887.34823187279 toddler:115404.90434229022 reading:115143.11807100115 box:115057.46472934933 stickers:114953.739276221 expansions:106046.88767183434 plastic:105007.42171225727 figurines:103383.87651552544 playmobil:103049.8103921127 wheels:100277.53545674845 sculpt:95592.30506155525 grandsons:95588.35214520317
